RFQ ID,Title,Buyer Name,Buyer Image,Inquiry Time,Quotes Left,Country,Quantity Required,Email Confirmed,Experienced Buyer,Complete Order via RFQ,Typical Replies,Interactive User,Inquiry URL,Inquiry Date,Scraping Date
N/A,ADNOC Logo Metal Buckle,,N/A,"Date Posted:
Just now",8,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Fh1UoXrKHj6pIkjI7ShbTQwDa99bfXROuta2eSChnHR-kduhf9IdZ5AzIV5QcMYV&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,jc j4 shifter,,N/A,"Date Posted:
27 minutes before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1Fh1UoXrKHj6pIkjI7ShbTUiN61a0iluGtF9yuVvKEjP6UO8ULu1SdkHrsJ4CmvyA&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Batteries 21700 18650 Cell Battery 3.7v 2600mah 3500mah 5000mah Lithium Rechargeable Battery for ...,,N/A,"Date Posted:
1 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID15Za4dJIuUY92lUgF_5jqWpEtGqxBAjHWOtPonfAEktD3ievyutTb4puWRgc2gNXV&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Ready to Ship TV BOX/OTT/TV Stick 8GB 128GB ATV Allwinner H618 1 Year Warranty Android 4k Support 20...,,N/A,"Date Posted:
1 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID15Za4dJIuUY92lUgF_5jqWjHwFGLHAuf3kGvZnT1h6iM5i8Yi1m0n4oHavpxM8gtQ&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Light Weight Payload 5kg Cobot Arm 6 Axis Robotic Manipulator Automatic Screwing Screw Robot,,N/A,"Date Posted:
1 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID14uj-yBZ4OrwiiXi2hz4QnpeuDYT36AiL9yd3lU-8SOynKo3l05_BQy9X_rXC22S-&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Used Cat 950g 950 Wheel Loader Used Cat Wheel Loader 950 966 Front End Loader Used Cat Wheel Loader 950 966,,N/A,"Date Posted:
1 hours before",7,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID14uj-yBZ4OrwiiXi2hz4Qnh1J30VT-atMzGTCV-pLu3ybt9B6mpm-IqKoT6wGVyBk&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Airless paint sprayer gun,,N/A,"Date Posted:
1 hours before",7,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1cDnjm-N9w-zUgNTUgMBTbPmFuaNkn3FO6FJaceqF-8G4qU3BHKWIdxq___R-K01A&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Sea Freight Shipping Agent From China to UAE Door to Door Top Chinese Forwarding Shenzhen/Guangzhou/...,,N/A,"Date Posted:
1 hours before",7,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1cDnjm-N9w-zUgNTUgMBTbH4YMeW_cJkkEsvvwf4ysA8h8HYReNCf5nHYg2TPXMFm&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,32 43 49 55 65 Inch Gas Station LCD Outdoor Monitor Display Wall Mount Sign IP65 Advertising Display...,,N/A,"Date Posted:
2 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1EGY0ZWIXA_ghnzjsDBq6mz6eoHzhB02e1HBgpN2Ye7R0qn76prPaNkZaI4gf_ZSV&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Male Enlargment Pill Power Enhancement Maca Gummies Adult Energy Pills Herbal Supplement Libido ...,,N/A,"Date Posted:
2 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1EGY0ZWIXA_ghnzjsDBq6m1JYA_LRpkcXxA3BF-Y908T-UQkAvdKPPwN2uwvfrLzC&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Scope red dot combo,,N/A,"Date Posted:
2 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1MjpQ6GpmNi81oC0H7RRmtxJ0C1MMUEo5V_pijeCIF4SAcPocNbbQFrQI2_lJl-dM&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Flatbed Die Cutter,,N/A,"Date Posted:
3 hours before",6,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1MjpQ6GpmNi81oC0H7RRmtzYGC-mg8NH_-uz5sv2HUjRat5x1L4fpGB1axiG_gJBe&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Mens Sneakers 2025-Running Shoes for Men,,N/A,"Date Posted:
3 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1C74HI6GczA0FRTc1Ho9edot8fzFP8sWwMUTNXa94PcB_-YDb-2sKixxN_76R12yz&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Summer Fashion Letter Loose Printed Round Neck Heavyweight Cotton Trendy Couple Short Sleeve Top T-shirt Men's Top,,N/A,"Date Posted:
4 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1C74HI6GczA0FRTc1Ho9edkUSzLqWafR6GgYsYdoVDLZ33gk2_ax8EgmBGTqNU35g&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Custom Balcony Enclosure,,N/A,"Date Posted:
6 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1NXuiDqfIg6ZF7Dawpj9paHc6TY7d_uoyGITFVbWeLTkw_lnPHtEHSIxB9v3Sspk3&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Shape Sorter Wooden Toy For Toddlers Wooden Shape Color Sorting Preschool Stacking Blocks Toddler ...,,N/A,"Date Posted:
6 hours before",6,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1NXuiDqfIg6ZF7Dawpj9paMKdY4Z4FZFQ7BCEv7shRMeKAP13yreGzktNi_s22T7s&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,TOP Printable PP Waterproof Self-adhesive Glossy Matte Decal Paper Sheet for Inkjet Laser Printer A4 Vinyl Label Sticker Paper,,N/A,"Date Posted:
8 hours before",4,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hTd64rJY14gTHFssdYOZP3BazBIJ1EIpy04bjOL99rTwZ1p2CCZq8_6fy_j1Myo8&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,4 Flavors Strawberry Lip Balm,,N/A,"Date Posted:
8 hours before",8,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hTd64rJY14gTHFssdYOZP4v5t7MNwjH2Q-yr-D5q-zxm-x8NXfS1h1LUAk9Azich&language=ar_AR&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,business bags and tissue paper with logo,,N/A,"Date Posted:
8 hours before",9,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1hTd64rJY14gTHFssdYOZP9PJIUOEDEqdVBzmc6135FvNqGeYNTv4twg7C-rY3wVD&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
N/A,Shoe box storage,,N/A,"Date Posted:
10 hours before",10,"Posted in:
United Arab Emirates",N/A,No,No,No,N/A,No,https://sourcing.alibaba.com/rfq_detail.htm?p=ID1fmY5m1sy2tRql7e_i0GwDNiPX2EwMWcaLL60xf1E031JLNOvE2OX6957z3wOre-X&uuid=3aa30c45-e704-4d31-a9d5-0e3d2b8c00d5&tracelog=sourcing_list_subject,N/A,2025-07-13
